Source,Target,PtDistance,GCPDistance,Difference,Source Annotated,Target Annotated
mufs190-1951-dpn1k62-i001.reference.tif,mufs190-1951-dpn1k61-i001.reference.tif,1686.566414,12.81646043,0.414167876,0,2
mufs190-1952-cni6h99-i001.reference.tif,mufs190-1952-cni6h98-i001.reference.tif,1525.002856,12.82751099,-1,0,2
mufs190-1951-dpn1k38-i001.reference.tif,mufs190-1951-dpn1k29-i001.reference.tif,2954.835873,12.83379175,3.228313266,2,2
mufs190-1951-dpn1k61-i001.reference.tif,mufs190-1951-dpn1k62-i001.reference.tif,1686.566414,12.86976286,-1,2,0
mufs190-1952-cni6h82-i001.reference.tif,mufs190-1952-cni6h80-i001.reference.tif,3104.617634,12.87271408,-1,2,2
mufs190-1952-cni6h135-i001.reference.tif,mufs190-1952-cni6h136-i001.reference.tif,1568.67549,12.88633257,15.6631467,0,2
mufs190-1952-dpb4h116-i001.reference.tif,mufs190-1952-dpb4h115-i001.reference.tif,1493.918561,13.03500113,19.67246964,0,2
mufs190-1951-dpn1k41-i001.reference.tif,mufs190-1951-dpn1k39-i001.reference.tif,3538.388845,13.04529696,9.270768034,0,0
mufs190-1952-cni6h126-i001.reference.tif,mufs190-1952-cni6h127-i001.reference.tif,1769.604592,13.05953294,6.783680092,2,0
mufs190-1952-cni4h140-i001.reference.tif,mufs190-1952-cni6h79-i001.reference.tif,3123.420836,13.0611935,14.52829978,0,0
mufs190-1952-cni6h102-i001.reference.tif,mufs190-1952-cni6h72-i001.reference.tif,2803.91751,13.12858506,17.83765431,0,0
mufs190-1951-dpl2k10-i001.reference.tif,mufs190-1951-dpl2k16-i001.reference.tif,3327.430654,13.14678818,-1,2,0
mufs190-1951-dpl2k17-i001.reference.tif,mufs190-1951-dpl2k8-i001.reference.tif,3648.781364,13.1534908,11.85660555,2,2
mufs190-1952-cni6h127-i001.reference.tif,mufs190-1952-cni5h37-i001.reference.tif,3408.806411,13.15533501,-1,0,0
mufs190-1952-cni5h156-i001.reference.tif,mufs190-1952-cni5h157-i001.reference.tif,1326.13373,13.15769163,-1,2,0
mufs190-1952-cni3h149-i001.reference.tif,mufs190-1952-cni3h148-i001.reference.tif,1997.491125,13.18395392,-1,2,0
mufs190-1952-dpb4h113-i001.reference.tif,mufs190-1952-dpb4h114-i001.reference.tif,2225.100145,13.18865761,-1,2,0
mufs190-1951-dpn1k46-i001.reference.tif,mufs190-1951-dpn1k44-i001.reference.tif,3345.569223,13.20049371,-1,2,2
mufs190-1952-cni4h138-i001.reference.tif,mufs190-1952-cni6h81-i001.reference.tif,3557.488558,13.224627,0.578275166,0,0
mufs190-1951-dpn1k61-i001.reference.tif,mufs190-1951-dpn1k112-i001.reference.tif,3511.456427,13.23790676,-1,2,0
