MacFile,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8,Tile9
mufs190-1951-dpl2k11-i001-001.tif,19TCG810065\19TCG810065.jp2,19TCG825065\19TCG825065.jp2,19TCG840065\19TCG840065.jp2,None,None,None,None,None,None
mufs190-1951-dpl2k15-i001-001.tif,19TCG780080\19TCG780080.jp2,19TCG795080\19TCG795080.jp2,19TCG810080\19TCG810080.jp2,19TCG780065\19TCG780065.jp2,19TCG795065\19TCG795065.jp2,19TCG810065\19TCG810065.jp2,19TCG780050\19TCG780050.jp2,19TCG795050\19TCG795050.jp2,None
mufs190-1951-dpl2k16-i001-001.tif,19TCG780095\19TCG780095.jp2,19TCG795095\19TCG795095.jp2,19TCG810095\19TCG810095.jp2,19TCG780080\19TCG780080.jp2,19TCG795080\19TCG795080.jp2,19TCG810080\19TCG810080.jp2,19TCG780065\19TCG780065.jp2,19TCG795065\19TCG795065.jp2,19TCG810065\19TCG810065.jp2
mufs190-1951-dpl2k17-i001-001.tif,19TCG795110\19TCG795110.jp2,19TCG810110\19TCG810110.jp2,19TCG825110\19TCG825110.jp2,19TCG795095\19TCG795095.jp2,19TCG810095\19TCG810095.jp2,19TCG825095\19TCG825095.jp2,19TCG780080\19TCG780080.jp2,19TCG795080\19TCG795080.jp2,19TCG810080\19TCG810080.jp2
mufs190-1951-dpl2k18-i001-001.tif,19TCG795125\19TCG795125.jp2,19TCG810125\19TCG810125.jp2,19TCG825125\19TCG825125.jp2,19TCG795110\19TCG795110.jp2,19TCG810110\19TCG810110.jp2,19TCG825110\19TCG825110.jp2,19TCG795095\19TCG795095.jp2,19TCG810095\19TCG810095.jp2,19TCG825095\19TCG825095.jp2
mufs190-1951-dpl2k19-i001-001.tif,19TCG795155\19TCG795155.jp2,19TCG810155\19TCG810155.jp2,19TCG825155\19TCG825155.jp2,19TCG795140\19TCG795140.jp2,19TCG810140\19TCG810140.jp2,19TCG825140\19TCG825140.jp2,19TCG795125\19TCG795125.jp2,19TCG810125\19TCG810125.jp2,19TCG825125\19TCG825125.jp2
mufs190-1951-dpl2k20-i001-001.tif,19TCG795170\19TCG795170.jp2,19TCG810170\19TCG810170.jp2,19TCG825170\19TCG825170.jp2,19TCG795155\19TCG795155.jp2,19TCG810155\19TCG810155.jp2,19TCG825155\19TCG825155.jp2,19TCG795140\19TCG795140.jp2,19TCG810140\19TCG810140.jp2,19TCG825140\19TCG825140.jp2
mufs190-1951-dpb1h18-i001-001.tif,18TYM110800\18TYM110800.jp2,18TYM125800\18TYM125800.jp2,18TYM140800\18TYM140800.jp2,18TYM110785\18TYM110785.jp2,18TYM125785\18TYM125785.jp2,18TYM140785\18TYM140785.jp2,18TYM110770\18TYM110770.jp2,18TYM125770\18TYM125770.jp2,18TYM140770\18TYM140770.jp2
mufs190-1951-dpb1h19-i001-001.tif,18TYM110830\18TYM110830.jp2,18TYM125830\18TYM125830.jp2,18TYM140830\18TYM140830.jp2,18TYM110815\18TYM110815.jp2,18TYM125815\18TYM125815.jp2,18TYM140815\18TYM140815.jp2,18TYM110800\18TYM110800.jp2,18TYM125800\18TYM125800.jp2,18TYM140800\18TYM140800.jp2
mufs190-1951-dpb1h20-i001-001.tif,18TYM110845\18TYM110845.jp2,18TYM125845\18TYM125845.jp2,18TYM140845\18TYM140845.jp2,18TYM110830\18TYM110830.jp2,18TYM125830\18TYM125830.jp2,18TYM140830\18TYM140830.jp2,18TYM110815\18TYM110815.jp2,18TYM125815\18TYM125815.jp2,18TYM140815\18TYM140815.jp2
