Filename,Coord X,Coord Y,GeoReferenced,Annotated
mufs190-1952-cni4h138-i001-001.tif,118439.0877,868196.1296,1,0.0
mufs190-1952-cni4h139-i001-001.tif,118372.0316,870140.7575,1,2.0
mufs190-1952-cni6h81-i001-001.tif,115577.0361,870308.8422,1,0.0
mufs190-1952-cni6h82-i001-001.tif,115492.3692,868594.3387,1,2.0
mufs190-1952-cni6h83-i001-001.tif,115513.536,866710.5016,1,0.0
mufs190-1952-cni6h84-i001-001.tif,115577.0361,864898.6313,1,2.0
mufs190-1952-dpl4k50-i001-001.tif,323278.6263,844678.1887,1,2.0
mufs190-1952-dpl4k51-i001-001.tif,323193.9595,846985.3599,1,0.0
mufs190-1952-dpl4k52-i001-001.tif,323701.9605,848467.0296,1,2.0
mufs190-1952-dpb5h41-i001-001.tif,105886.4193,892325.593,1,0.0
mufs190-1952-dpb5h110-i001-001.tif,102858.7463,887516.1695,1,0.0
mufs190-1952-dpb5h111-i001-001.tif,103076.6787,888941.1123,1,2.0
mufs190-1952-dpb5h112-i001-001.tif,102607.2858,890835.4481,1,0.0
mufs190-1952-dpb5h113-i001-001.tif,102741.398,892377.7392,1,2.0
mufs190-1952-dpb5h141-i001-001.tif,99534.92737,893344.7255,1,0.0
mufs190-1951-dpn1k60-i001-001.tif,220169.7454,865641.4353,1,0.0
mufs190-1951-dpn1k61-i001-001.tif,220035.6331,864065.6161,1,2.0
mufs190-1951-dpn1k113-i001-001.tif,223243.8712,866750.2915,1,2.0
mufs190-1952-dpb4h115-i001-001.tif,121372.2856,888251.1694,1,2.0
mufs190-1952-dpb4h116-i001-001.tif,121181.7852,886769.4998,1,0.0
mufs190-1952-dpb4h148-i001-001.tif,118707.3122,886371.6948,1,0.0
mufs190-1952-dpb4h149-i001-001.tif,118908.4806,887897.2218,1,2.0
mufs190-1952-dpb4h150-i001-001.tif,119143.1771,889942.4339,1,0.0
mufs190-1952-dpb4h151-i001-001.tif,118891.7166,891350.6127,1,2.0
